,HIP,Parallax,RA,Dec,Vmag,Spectral_Type,Distance
13911,20176 H,13.35,041930.24,+375954.3,7.17,G,74.90636704119851
13922,20187,20.13,041936.77,+123727.7,9.81,G,49.67709885742673
13923,20188,5.59,041937.43,+100717.5,6.31,G,178.89087656529517
13945,20215 H,23.27,041954.78,+163121.6,6.85,G,42.97378599054577
13947,20222,43.27,041959.54,+362915.3,11.46,G,23.1107002542177
13951,20226,4.91,042003.96,+233555.9,7.19,G,203.66598778004072
13964,20239,1.03,042013.48,+501629.2,10.29,G,970.8737864077669
13979,20274,5.04,042044.22,+510657.5,8.5,G,198.4126984126984
13981,20281,10.17,042049.04,+091329.2,6.52,G,98.32841691248771
13982,20282,5.43,042049.74,+000434.1,7.64,G,184.1620626151013
13988,*20288,5.68,042054.21,+815839.1,7.46,G,176.05633802816902
13991,20296,2.75,042057.50,+501517.4,7.13,G,363.6363636363636
14009,20319,11.64,042109.82,+060613.0,11.86,G,85.91065292096219
14011,20326 H,10.76,042116.65,+381439.6,7.97,G,92.93680297397769
14024,20359,32.58,042135.92,+482013.1,9.63,G,30.693677102516883
14029,20369,11.96,042142.55,+192806.7,8.37,G,83.61204013377926
14030,*20370 H,2.15,042145.47,+500206.7,7.11,G,465.1162790697675
14032,20397,19.15,042200.93,+123032.1,9.27,G,52.21932114882507
14040,20410,12.45,042213.18,+042015.4,11.94,G,80.32128514056225
14043,20413,13.1,042219.23,+453652.8,10.32,G,76.33587786259542
14045,20415,15.44,042220.63,+302526.4,9.09,G,64.76683937823834
14054,20424,5.28,042230.12,+032435.0,8.77,G,189.39393939393938
14058,20433,7.69,042237.39,+432657.5,7.89,G,130.03901170351105
14065,20440 H,21.45,042244.10,+150322.1,6.97,G,46.62004662004662
14073,20448,4.66,042251.21,+705043.1,8.2,G,214.59227467811158
14082,20457,10.59,042258.95,+092410.9,8.03,G,94.42870632672333
14084,*20459,3.37,042301.19,+470430.0,8.99,G,296.7359050445104
14101,20482,15.82,042322.79,+193931.5,9.39,G,63.21112515802781
14105,20491,20.04,042330.34,+242419.8,7.18,G,49.9001996007984
14106,20492,21.23,042332.27,+144013.9,9.11,G,47.103155911446066
14112,20498 H,5.9,042335.80,+422540.8,6.25,G,169.4915254237288
14139,20530,4.25,042356.50,+142446.6,8.75,G,235.2941176470588
14140,20531,3.78,042357.77,+241813.9,8.18,G,264.55026455026456
14141,20532,5.73,042359.57,+335043.8,8.3,G,174.5200698080279
14143,20534,8.27,042359.79,+351257.2,7.89,G,120.91898428053204
14149,20540,6.58,042404.48,+125821.0,7.7,G,151.9756838905775
14151,20542,22.36,042405.69,+172639.2,4.8,G,44.72271914132379
14156,20547,3.88,042409.68,+083317.3,12.62,G,257.7319587628866
14167,20563,19.35,042416.87,+180010.8,9.99,G,51.67958656330749
14171,20577,20.73,042428.26,+165310.4,7.79,G,48.239266763145196
14174,20580 H,6.8,042429.47,+224429.8,7.95,G,147.05882352941177
14175,20586 H,20.69,042432.79,+505043.2,6.87,G,48.332527791203475
14180,20591 H,24.0,042437.42,+335735.6,5.77,G,41.666666666666664
14186,20597,9.31,042442.00,+100248.4,7.22,G,107.41138560687432
14190,20601,14.97,042443.17,+044159.8,8.93,G,66.8002672010688
14194,20605 H,24.41,042447.99,+155229.2,11.66,G,40.96681687832855
14205,20616,21.0,042500.30,+115840.7,8.41,G,47.61904761904762
14219,20635,21.27,042522.10,+221738.3,4.21,G,47.01457451810061
14221,*20642,2.18,042524.89,+021304.7,8.11,G,458.7155963302752
14227,*20648 H,22.05,042529.32,+175540.8,4.3,G,45.35147392290249
14232,20653,4.61,042531.18,+371624.7,8.48,G,216.91973969631235
14248,20679 H,20.79,042547.49,+180102.5,8.99,G,48.1000481000481
14249,20680,4.44,042547.54,+210817.2,8.48,G,225.22522522522522
14250,20686 H,23.08,042551.66,+185150.9,8.07,G,43.327556325823224
14257,20698 H,5.17,042601.34,+042224.6,6.37,G,193.42359767891682
14273,20719,21.76,042624.54,+165112.1,8.04,G,45.955882352941174
14279,20740,7.92,042638.98,+141313.7,9.23,G,126.26262626262627
14280,20741,21.42,042640.05,+164449.1,8.1,G,46.68534080298786
14284,20745 H,28.27,042642.75,+124111.8,10.5,G,35.373187124159884
14287,20748 H,5.76,042646.25,+553837.4,7.33,G,173.61111111111111
14290,20751,23.03,042648.19,+105216.0,9.45,G,43.42162396873643
