,HIP,Parallax,RA,Dec,Vmag,Spectral_Type,Distance
2,3,2.81,000001.20,+385133.4,6.61,G,355.8718861209964
5,6,18.8,000004.35,+035647.4,12.31,G,53.191489361702125
6,7,17.74,000005.41,+200211.8,9.64,G,56.369785794813986
19,20,10.76,000015.11,+233145.4,8.51,G,92.93680297397769
22,23,12.21,000017.86,+131844.0,7.57,G,81.9000819000819
31,42,6.38,000030.09,+255041.2,8.2,G,156.73981191222572
43,54,20.97,000036.40,+175808.2,10.57,G,47.68717215069147
51,67,7.48,000047.78,+233217.7,7.83,G,133.6898395721925
75,96,19.83,000113.17,+135829.1,10.46,G,50.42864346949067
84,110 H,20.42,000123.69,+393638.9,8.61,G,48.97159647404505
85,111,27.11,000123.78,+341654.7,11.28,G,36.88675765400222
88,114 H,9.93,000129.20,+304409.2,7.95,G,100.70493454179255
102,*143,20.05,000149.24,+212743.7,10.35,G,49.87531172069825
107,*148,4.22,000154.91,+153142.7,8.15,G,236.96682464454977
108,*149,22.92,000154.88,+260020.1,11.26,G,43.630017452006975
116,162,2.71,000203.21,+270707.0,9.84,G,369.00369003690037
120,171,80.63,000209.65,+270504.2,5.8,G,12.40233163834801
121,172,1.27,000210.29,+672432.2,9.05,G,787.4015748031496
134,185,11.74,000221.64,+104708.3,8.53,G,85.17887563884156
139,190 H,10.47,000225.33,+104635.9,8.74,G,95.51098376313276
146,202,2.6,000234.02,+543307.8,8.62,G,384.6153846153846
159,220,6.27,000246.02,+354855.7,7.52,G,159.4896331738437
160,221,7.68,000246.37,+801656.1,7.74,G,130.20833333333334
162,*223 H,21.58,000247.14,+020749.4,7.17,G,46.33920296570899
170,246,18.29,000303.28,+564359.5,9.73,G,54.67468562055768
172,248,9.03,000303.78,+081614.9,8.1,G,110.74197120708749
174,250 H,5.19,000305.84,+522754.6,8.14,G,192.67822736030828
198,279,0.81,000327.31,+622128.1,8.69,G,1234.567901234568
238,*324,8.18,000410.21,+172612.1,8.53,G,122.24938875305624
256,352,12.99,000426.42,+580407.6,10.42,G,76.98229407236336
274,385 H,9.37,000446.84,+381025.8,9.39,G,106.72358591248667
280,391 H,6.95,000450.87,+435814.8,8.18,G,143.88489208633092
288,*404 H,14.53,000457.51,+454026.2,7.47,G,68.82312456985548
302,423,6.66,000509.26,+301944.8,7.8,G,150.15015015015015
303,*424,14.25,000509.78,+451344.7,6.71,G,70.17543859649123
306,*428,86.98,000510.16,+454713.0,9.95,G,11.496895838123706
309,431,2.45,000512.48,+361813.3,8.09,G,408.1632653061224
337,474,7.0,000540.85,+442807.3,8.36,G,142.85714285714286
345,482 H,5.95,000544.41,+175025.2,7.75,G,168.0672268907563
353,495 H,25.77,000555.56,+180434.4,8.58,G,38.80481179666279
358,510 H,11.07,000608.02,+094253.9,7.8,G,90.33423667570008
366,518 H,49.3,000615.54,+582612.1,5.98,G,20.28397565922921
381,538,13.26,000631.68,+054931.1,10.95,G,75.41478129713424
399,561,3.17,000650.31,+681001.7,11.79,G,315.45741324921136
414,581,7.12,000704.16,+065232.2,7.44,G,140.4494382022472
420,597,4.23,000713.71,+731237.1,7.88,G,236.40661938534276
424,601 H,17.98,000718.15,+205756.2,9.14,G,55.61735261401557
426,603 H,5.87,000718.39,+074212.9,7.64,G,170.35775127768312
436,628,2.89,000740.01,+010539.3,8.25,G,346.02076124567475
459,656,9.77,000804.62,+534747.0,8.15,G,102.3541453428864
479,687,45.64,000827.34,+172528.0,10.73,G,21.910604732690622
481,689 H,12.72,000828.39,+345604.3,7.41,G,78.61635220125785
483,691,14.43,000830.12,+522011.1,7.78,G,69.3000693000693
492,710,11.61,000848.74,+080118.3,7.43,G,86.13264427217916
499,722,12.89,000856.56,+124816.1,8.48,G,77.57951900698215
508,*731,22.5,000902.75,+273904.5,11.65,G,44.44444444444444
527,760 H,8.56,000919.83,+794252.7,6.01,G,116.82242990654206
530,763 H,1.42,000923.27,+583957.2,8.24,G,704.2253521126761
535,768 H,13.8,000927.98,+190656.5,7.94,G,72.46376811594203
552,*795 H,14.21,000951.62,+082711.5,8.64,G,70.37297677691765
570,828,3.6,001007.27,+393856.2,8.71,G,277.77777777777777
598,856,12.91,001029.61,+151354.9,8.24,G,77.45933384972889
600,858,4.74,001032.42,+330751.2,6.83,G,210.97046413502107
607,870,18.2,001040.73,+020319.8,7.51,G,54.94505494505495
617,*890,1.44,001056.03,+645747.5,9.64,G,694.4444444444445
620,898,24.32,001104.49,+051231.3,11.55,G,41.118421052631575
633,916,35.69,001120.89,+582059.5,9.5,G,28.01905295601009
640,923 H,3.47,001129.42,+355551.9,9.33,G,288.1844380403458
664,952,10.91,001145.78,+273036.9,8.45,G,91.6590284142988
669,957 H,1.99,001150.43,+660734.9,7.32,G,502.51256281407035
671,959,4.21,001150.84,+505921.4,9.45,G,237.52969121140143
683,971,10.9,001201.46,+283624.2,7.19,G,91.74311926605505
701,1004,4.78,001232.95,+243811.1,8.88,G,209.20502092050208
703,1006,34.54,001233.39,+214250.9,11.67,G,28.951939779965258
714,1022,15.9,001245.03,+045833.0,9.85,G,62.893081761006286
719,1027,4.71,001248.51,+153337.3,8.63,G,212.31422505307856
722,1030,1.21,001250.24,+374137.2,6.71,G,826.4462809917355
728,1036,0.03,001259.25,+661919.4,10.54,G,33333.333333333336
760,1078,28.3,001324.36,+190417.9,9.86,G,35.3356890459364
772,1090,7.03,001336.97,+471135.8,7.98,G,142.2475106685633
775,1098 H,7.52,001343.02,+183808.9,8.08,G,132.97872340425533
780,1103,13.08,001345.64,+081136.7,7.41,G,76.4525993883792
782,1105,9.34,001346.43,+645153.4,8.07,G,107.06638115631692
797,1125,5.52,001402.84,+443043.3,8.4,G,181.1594202898551
810,1148 H,22.51,001421.33,+602029.9,8.51,G,44.4247001332741
811,1149,1.72,001421.48,+045309.1,9.0,G,581.3953488372093
814,1152 H,7.15,001423.62,+435045.2,8.17,G,139.86013986013987
827,1180,1.29,001442.72,+643358.2,8.4,G,775.1937984496124
831,1184,8.41,001447.76,+621146.9,8.49,G,118.90606420927467
846,1209,2.02,001507.36,+614601.9,8.44,G,495.049504950495
851,1224,12.24,001514.55,+530426.6,10.36,G,81.69934640522875
854,1227,0.79,001515.22,+680023.4,11.67,G,1265.8227848101264
862,1235,3.79,001521.96,+624146.5,9.12,G,263.85224274406335
867,1240,14.39,001527.03,+641631.1,10.66,G,69.49270326615705
877,1255,7.49,001544.92,+453238.1,8.24,G,133.5113484646195
881,1259,4.17,001548.60,+592625.0,7.9,G,239.80815347721824
886,*1264,2.17,001551.64,+024208.3,8.4,G,460.82949308755764
889,1272,7.32,001557.29,+041504.1,7.13,G,136.61202185792348
908,*1296 H,5.28,001613.88,+765702.7,6.35,G,189.39393939393938
913,*1301,8.67,001620.65,+163847.5,9.74,G,115.34025374855825
914,1302 H,10.75,001621.50,+433542.4,6.12,G,93.02325581395348
945,1333 H,7.18,001643.05,+363747.5,6.99,G,139.2757660167131
948,1336 H,11.15,001644.46,+362929.0,7.74,G,89.68609865470852
954,1343,2.99,001649.74,+471438.5,9.21,G,334.44816053511704
962,1366,12.88,001705.54,+384054.0,4.61,G,77.63975155279503
964,1368,66.71,001705.94,+405653.1,8.99,G,14.990256333383302
973,1377,7.02,001712.44,+233551.5,7.9,G,142.45014245014247
977,1386,42.65,001719.86,+291055.1,11.54,G,23.446658851113718
980,1389 H,23.3,001722.29,+185134.4,10.51,G,42.918454935622314
981,1390,9.72,001722.34,+163037.5,8.78,G,102.88065843621399
983,*1392 H,15.31,001724.50,+085234.8,6.66,G,65.31678641410842
988,1397 H,11.3,001728.76,+001915.5,7.71,G,88.49557522123894
1019,1428,2.77,001750.38,+590327.3,7.71,G,361.01083032490976
1022,1431,3.88,001751.47,+510428.2,8.66,G,257.7319587628866
1028,1437,16.24,001754.47,+002239.3,8.88,G,61.57635467980296
1029,1438,4.74,001755.94,+044156.2,12.22,G,210.97046413502107
1033,1442,16.75,001757.69,+401339.0,9.94,G,59.701492537313435
1041,1460,6.63,001812.15,+522445.7,8.1,G,150.82956259426848
1047,1466,0.0,001817.74,+614337.4,7.63,G,inf
1054,1473,23.11,001819.71,+364707.2,4.51,G,43.271311120726956
1059,1478 H,8.87,001821.56,+493035.2,7.84,G,112.73957158962797
1061,1480,7.47,001824.97,+225249.0,7.98,G,133.86880856760376
1071,1495,8.99,001839.63,+225246.7,7.14,G,111.23470522803115
1077,1501 T,4.71,001842.15,+434728.1,6.1,G,212.31422505307856
1079,1503 H,6.33,001842.80,+155926.5,8.64,G,157.9778830963665
1087,1511,0.37,001849.79,+302333.7,11.61,G,2702.702702702703
1092,1521,5.77,001856.84,+631717.7,7.7,G,173.3102253032929
1104,1538,4.25,001911.94,+161853.5,8.6,G,235.2941176470588
1107,1541,14.21,001912.78,+133438.2,8.19,G,70.37297677691765
1111,1545,11.65,001916.64,+003114.1,7.93,G,85.83690987124463
1113,1547,5.97,001917.02,+140317.3,8.36,G,167.50418760469012
1131,1575,6.03,001941.58,+404346.2,6.35,G,165.83747927031507
1140,1589,6.06,001952.76,+132335.9,8.7,G,165.01650165016503
1149,1603,3.69,002005.17,+485155.7,6.53,G,271.00271002710025
1151,1605,0.53,002005.54,+620358.7,8.13,G,1886.7924528301885
1161,1620,10.07,002015.10,+093135.7,9.32,G,99.30486593843098
1171,1630,5.6,002024.39,+305608.2,5.89,G,178.57142857142858
1176,1640,11.82,002031.46,+305828.8,7.52,G,84.60236886632825
1195,1669 H,14.0,002054.12,+325841.4,6.9,G,71.42857142857143
1196,1670 H,5.22,002054.61,+105837.1,6.57,G,191.57088122605364
1200,1674 H,31.49,002057.09,+674002.3,7.91,G,31.756113051762465
1213,1687,18.33,002107.98,+203515.2,10.06,G,54.55537370430988
1226,1700 H,4.91,002122.17,+670019.5,7.23,G,203.66598778004072
1229,1703,1.78,002125.59,+324646.9,11.58,G,561.7977528089888
1235,1709,1.21,002132.00,+265743.7,8.19,G,826.4462809917355
1242,1721,10.13,002137.64,+361302.5,8.1,G,98.71668311944718
1256,1740 H,3.84,002200.06,+271109.4,8.7,G,260.4166666666667
1275,1769,2.72,002223.61,+353210.9,7.02,G,367.6470588235294
1276,1770,4.28,002223.94,+051330.8,9.3,G,233.6448598130841
1280,1774,14.45,002227.59,+474710.4,11.19,G,69.20415224913495
1320,1839,3.61,002316.97,+511140.4,8.56,G,277.0083102493075
1322,1841,16.99,002317.94,+000949.2,9.91,G,58.85815185403179
1327,1846 H,16.56,002320.15,+611255.7,11.07,G,60.38647342995169
1336,1860,50.71,002331.03,+771121.1,11.31,G,19.719976336028395
1350,1879,3.08,002343.21,+450520.8,7.61,G,324.67532467532465
1353,1882,8.45,002345.83,+365404.4,8.7,G,118.3431952662722
1355,1884,10.23,002346.15,+093709.5,8.88,G,97.75171065493646
1358,1887,12.47,002351.46,+292945.3,8.48,G,80.19246190858058
1359,1888,5.62,002351.83,+183446.0,8.99,G,177.9359430604982
1362,1891,9.39,002353.20,+293009.1,8.25,G,106.49627263045792
1377,1907,5.52,002406.29,+505335.9,8.85,G,181.1594202898551
1389,1924,8.52,002417.32,+013323.1,7.78,G,117.37089201877934
1395,1935,1.79,002423.25,+565720.0,8.51,G,558.659217877095
1397,1942,6.3,002433.50,+565802.8,8.26,G,158.73015873015873
1401,1946,5.07,002436.35,+165847.4,8.49,G,197.2386587771203
1428,1978,23.77,002504.04,+454120.5,9.61,G,42.069835927639886
1430,1980,9.0,002504.77,+295050.0,8.34,G,111.11111111111111
1437,1987 H,23.69,002508.50,+480250.9,7.52,G,42.211903756859435
1439,1989,15.77,002510.96,+165931.4,7.89,G,63.41154090044388
1451,2016,4.65,002536.21,+340701.9,8.22,G,215.0537634408602
1453,2018 H,5.11,002537.66,+362901.5,8.24,G,195.69471624266143
1478,2058,3.45,002603.69,+200848.6,6.67,G,289.8550724637681
1480,2060 H,0.69,002605.40,+235900.2,8.99,G,1449.2753623188407
1482,2067,5.43,002609.85,+073806.4,11.28,G,184.1620626151013
1489,*2074 H,4.45,002612.10,+564645.6,6.71,G,224.7191011235955
1502,2102,22.32,002640.31,+301159.4,10.05,G,44.80286738351254
1513,2113,3.21,002649.47,+271121.0,8.31,G,311.52647975077883
1520,*2120,61.39,002652.94,+700834.0,10.52,G,16.289297931259163
1531,2131,14.38,002701.80,+602409.1,8.92,G,69.54102920723226
1547,2152,4.88,002712.57,+253442.9,7.49,G,204.91803278688525
1566,2181,3.55,002734.02,+071404.1,8.83,G,281.69014084507046
1594,2220,3.29,002807.65,+164257.8,7.68,G,303.951367781155
1612,2248,4.4,002836.75,+390524.5,8.34,G,227.27272727272725
1613,2249,2.94,002836.90,+333802.5,7.47,G,340.13605442176873
1639,2280,8.48,002908.60,+111912.5,8.09,G,117.92452830188678
1648,2289,4.4,002914.30,+592810.1,8.02,G,227.27272727272725
1652,2293,17.58,002917.27,+805448.2,11.37,G,56.88282138794085
1660,2306,4.74,002924.60,+262943.3,8.32,G,210.97046413502107
1664,2310,2.67,002927.98,+384254.1,10.68,G,374.53183520599254
1676,2327 H,20.25,002942.63,+201805.2,10.11,G,49.382716049382715
1685,2336,11.67,002951.70,+381927.7,7.47,G,85.6898029134533
1693,2364,25.04,003010.63,+542748.0,10.1,G,39.936102236421725
1702,2373,20.15,003018.06,+071044.9,10.68,G,49.62779156327544
1706,2382,0.82,003024.45,+601009.3,10.9,G,1219.5121951219512
1715,2391,11.25,003029.22,+042020.5,12.25,G,88.88888888888889
1717,2393,7.85,003029.36,+321037.0,7.63,G,127.38853503184714
1721,2397,29.34,003030.90,+224609.9,9.22,G,34.08316291751875
1724,2400,3.54,003034.93,+361008.7,9.17,G,282.4858757062147
1734,2410,8.45,003041.99,+095513.6,12.07,G,118.3431952662722
1738,2414 H,20.91,003045.56,+473148.0,7.74,G,47.82400765184122
1742,2423,4.88,003054.30,+640351.7,8.12,G,204.91803278688525
1745,2426,36.36,003055.09,+732213.7,10.63,G,27.502750275027502
1748,2429 H,8.1,003058.52,+340555.2,8.07,G,123.4567901234568
1751,2432,1.53,003100.20,+554727.5,8.33,G,653.59477124183
1753,2434,10.69,003101.67,+432227.2,8.51,G,93.54536950420955
1764,2450,1.1,003110.57,+560005.1,8.83,G,909.090909090909
1767,2453,23.95,003112.41,+694707.6,7.37,G,41.75365344467641
1769,*2455,2.44,003112.90,+435647.6,6.76,G,409.8360655737705
1778,*2469,5.62,003121.12,+390039.4,8.49,G,177.9359430604982
1809,2505 H,9.2,003146.32,+543120.4,4.74,G,108.69565217391305
1819,2520,2.31,003157.29,+283115.9,8.84,G,432.9004329004329
1821,2522,1.79,003157.60,+303119.2,8.48,G,558.659217877095
1837,2543 H,11.36,003221.78,+582019.1,7.1,G,88.02816901408451
1850,*2576 H,4.47,003243.21,+385037.8,6.9,G,223.7136465324385
1861,2587 H,3.83,003251.81,+355128.7,7.94,G,261.0966057441253
1866,2597,11.3,003259.34,+182342.8,7.58,G,88.49557522123894
1872,2603,4.35,003303.38,+335046.0,8.42,G,229.8850574712644
1873,2604,29.26,003305.31,+420004.0,10.94,G,34.17634996582365
1880,2626,12.29,003318.39,+135026.2,7.81,G,81.36696501220506
1892,2643 H,16.68,003329.97,+400620.2,7.76,G,59.95203836930456
1927,2688,8.48,003408.29,+055728.2,7.64,G,117.92452830188678
1934,2700,2.38,003416.22,+222448.4,9.62,G,420.1680672268908
1940,2716 H,19.32,003433.70,+625412.2,7.67,G,51.75983436853002
1941,2717,16.11,003435.47,+623525.7,8.07,G,62.07324643078833
1949,2725,26.98,003447.08,+260357.4,9.48,G,37.064492216456635
1954,2730,6.24,003453.37,+185400.4,8.91,G,160.25641025641025
1969,2750,1.83,003505.15,+391004.7,8.46,G,546.4480874316939
1970,2751,14.68,003507.59,+074323.9,8.38,G,68.11989100817439
1989,2780 H,10.53,003528.60,+115025.8,8.35,G,94.9667616334283
1997,2793,5.15,003534.66,+363444.6,8.56,G,194.17475728155338
2005,2801 H,5.43,003539.48,+342846.6,8.08,G,184.1620626151013
2017,2828,23.82,003553.01,+123550.6,11.26,G,41.98152812762385
2031,2847,19.45,003603.63,+070921.6,7.77,G,51.41388174807198
2046,2877,6.13,003627.45,+210427.6,8.28,G,163.1321370309951
2055,2886 H,4.21,003633.46,+560831.9,7.97,G,237.52969121140143
2065,2896,7.65,003643.79,+270309.1,7.8,G,130.718954248366
2087,2918,6.7,003657.07,+052444.9,8.22,G,149.2537313432836
2091,2922 H,2.21,003701.56,+551302.1,7.43,G,452.4886877828054
2095,2926,9.75,003707.20,+240051.3,6.18,G,102.56410256410257
2116,2952,4.78,003729.60,+215511.4,8.95,G,209.20502092050208
2127,2978,3.31,003755.46,+392100.3,8.93,G,302.11480362537765
2134,2995,1.61,003804.62,+394056.9,8.57,G,621.1180124223603
2140,*3006,24.8,003814.71,+844030.1,7.11,G,40.32258064516129
2142,3008,43.4,003815.36,+521956.7,10.48,G,23.041474654377883
2167,3033,14.61,003834.41,+060119.2,8.77,G,68.44626967830254
2178,3054,16.48,003847.63,+310109.5,9.04,G,60.679611650485434
2182,3058,3.07,003849.25,+594934.2,6.72,G,325.73289902280135
2186,3062,17.84,003851.24,+330218.4,11.0,G,56.053811659192824
2195,3086,21.79,003912.81,+030759.5,7.34,G,45.892611289582376
2202,3093,90.03,003922.09,+211504.9,5.88,G,11.107408641563923
2210,3106,8.5,003933.83,+523348.5,8.61,G,117.6470588235294
2213,3109 H,9.68,003935.36,+364726.1,8.23,G,103.30578512396694
2216,3112,6.72,003936.86,+433812.5,8.77,G,148.80952380952382
2227,*3128,4.16,003944.23,+892639.5,8.12,G,240.3846153846154
2237,3138 H,7.94,003955.55,+212618.8,5.36,G,125.94458438287153
2253,3159 H,5.45,004012.99,+471521.1,7.64,G,183.4862385321101
2254,3161,18.91,004013.59,+074718.6,11.49,G,52.882072977260705
2257,3164,16.01,004019.26,+263958.5,8.16,G,62.46096189881324
2258,3165,6.11,004019.78,+240314.0,7.21,G,163.6661211129296
2284,*3206,57.9,004049.00,+401119.7,7.36,G,17.271157167530227
2292,3214,17.45,004052.63,+310659.4,7.6,G,57.306590257879655
2305,3232,20.28,004107.67,+191516.6,9.92,G,49.30966469428007
2310,3237,0.98,004112.16,+393613.8,7.99,G,1020.4081632653061
2319,3251,2.86,004125.39,+280233.6,7.89,G,349.65034965034965
2324,3256,18.85,004128.84,+311608.6,11.64,G,53.05039787798408
2335,3272,16.94,004141.94,+200814.0,7.84,G,59.03187721369539
2336,3273,7.51,004142.34,+494959.3,7.64,G,133.15579227696406
2338,3275,7.04,004144.98,+271110.0,8.32,G,142.04545454545453
2341,*3278,7.8,004146.12,+000957.3,10.71,G,128.2051282051282
2343,3280,19.15,004148.78,+181935.6,10.99,G,52.21932114882507
2344,3281,1.23,004149.50,+674647.4,8.09,G,813.0081300813008
2358,3300,2.94,004203.88,+503045.1,4.8,G,340.13605442176873
2384,*3326 H,16.16,004223.21,+041000.0,7.59,G,61.88118811881188
2389,3331,5.4,004228.95,+273834.6,7.2,G,185.18518518518516
2401,3363,2.98,004248.49,+624557.2,7.79,G,335.5704697986577
2408,3370 H,2.08,004252.41,+522555.0,8.44,G,480.7692307692308
2411,3378,35.58,004256.51,+223934.5,11.55,G,28.10567734682406
2432,*3399,5.84,004317.45,+020313.1,8.01,G,171.23287671232876
2445,*3412,9.01,004326.53,+495340.9,8.15,G,110.98779134295228
2451,3418,48.16,004333.00,+335043.6,8.73,G,20.764119601328904
2461,3428,23.62,004341.37,+235308.7,10.97,G,42.33700254022015
2463,3430,6.04,004343.73,+721042.3,10.2,G,165.56291390728478
2465,3437,2.58,004352.03,+614418.4,9.87,G,387.5968992248062
2466,3438,12.96,004352.26,+331838.5,6.92,G,77.1604938271605
2504,3487,3.1,004430.68,+614650.0,9.64,G,322.5806451612903
2545,3533,26.87,004503.74,+755616.9,7.19,G,37.216226274655746
2547,3535,45.43,004504.92,+014712.9,8.03,G,22.01188641866608
2552,3545,6.87,004518.20,+150956.9,8.67,G,145.5604075691412
2560,3558 H,5.87,004528.36,+432403.3,8.17,G,170.35775127768312
2566,3564,2.07,004533.43,+165819.7,10.6,G,483.09178743961354
2568,3566,2.53,004535.07,+632107.4,10.5,G,395.25691699604744
2617,3620,5.54,004627.06,+305705.9,7.34,G,180.50541516245488
2661,3689 H,2.45,004717.79,+555843.1,9.38,G,408.1632653061224
2669,3697,7.16,004723.62,+064427.5,5.98,G,139.66480446927375
2673,3701,4.65,004729.22,+095855.5,10.31,G,215.0537634408602
2684,*3712,9.96,004741.11,+125245.7,8.91,G,100.40160642570281
2685,*3713,3.22,004741.05,+253204.1,7.88,G,310.55900621118013
2696,3724,20.55,004748.45,+060155.2,11.73,G,48.661800486618006
2706,3739,5.36,004800.54,+361216.1,8.05,G,186.56716417910448
2707,3740,4.85,004800.56,+362913.6,7.85,G,206.18556701030928
2727,*3765,134.04,004822.53,+051700.2,5.74,G,7.460459564309162
2734,3777,12.85,004833.18,+002255.6,8.16,G,77.82101167315176
2752,3795 H,16.28,004844.82,+184108.3,7.6,G,61.42506142506142
2757,3805,7.45,004854.68,+325528.8,7.95,G,134.2281879194631
2775,3829,226.95,004909.18,+052342.7,12.37,G,4.406256884776383
2793,3857 H,3.8,004932.74,+440333.8,7.78,G,263.15789473684214
2795,3859,16.59,004933.66,+381217.9,8.02,G,60.27727546714888
2798,3868 H,7.36,004939.51,+604532.7,8.06,G,135.8695652173913
2801,3881,4.8,004948.83,+410444.2,4.53,G,208.33333333333334
2812,3897,10.27,004958.58,+345827.2,7.26,G,97.37098344693281
2816,3901,5.9,005002.25,+704627.0,6.9,G,169.4915254237288
2827,3912,3.73,005011.97,+114948.5,8.91,G,268.0965147453083
2836,3926 H,13.06,005025.10,+503749.6,7.83,G,76.5696784073507
2850,3940,1.12,005035.43,+622157.8,9.59,G,892.8571428571428
2860,3960,12.09,005051.25,+102150.9,10.51,G,82.71298593879239
2864,3974,0.53,005105.08,+225254.8,8.06,G,1886.7924528301885
2885,4005,18.78,005124.97,+323926.2,7.28,G,53.24813631522896
2892,4012,54.23,005128.10,+581803.8,10.66,G,18.439977872026553
2914,4034,3.57,005139.99,+511159.9,8.12,G,280.1120448179272
2918,4038 H,3.39,005147.06,+480323.7,7.49,G,294.9852507374631
2919,4039,7.08,005148.30,+742825.8,9.77,G,141.24293785310735
2925,4050,0.01,005154.34,+274646.0,7.82,G,100000.0
2931,4056,10.25,005156.23,+040337.1,7.86,G,97.5609756097561
2936,4061,33.9,005159.95,+203459.3,11.53,G,29.498525073746315
2942,4067,36.34,005209.34,+064811.0,11.8,G,27.517886626307096
2952,4082 H,0.94,005220.91,+421934.9,9.15,G,1063.8297872340427
2962,4097,4.92,005236.06,+655330.3,8.34,G,203.2520325203252
2968,4103,25.86,005240.01,+312734.1,8.36,G,38.669760247486465
2974,4119,0.28,005246.53,+185747.8,8.34,G,3571.428571428571
2991,4141 H,4.43,005257.84,+180624.3,8.96,G,225.73363431151242
2992,4142 H,6.7,005258.20,+635528.5,7.99,G,149.2537313432836
3001,*4151,53.85,005304.28,+610724.8,4.8,G,18.570102135561743
3002,*4152,6.51,005304.24,+390930.3,8.23,G,153.60983102918587
3016,4166,14.96,005314.02,+190848.6,9.53,G,66.84491978609626
3021,4171,10.16,005318.02,+194559.6,7.42,G,98.4251968503937
3026,4176 H,8.31,005319.51,+040510.7,7.2,G,120.33694344163658
3032,*4182,3.24,005328.02,+603956.3,7.78,G,308.641975308642
3035,*4185,8.72,005328.22,+372505.9,6.07,G,114.6788990825688
3057,4212 H,11.72,005347.53,+524121.6,6.27,G,85.32423208191126
3068,4223,38.16,005353.00,+455639.8,11.11,G,26.205450733752624
3072,4237 H,8.49,005405.01,+570050.9,7.41,G,117.78563015312132
3074,4239 H,9.45,005406.03,+662607.9,7.05,G,105.82010582010582
3078,4243,7.21,005409.27,+200448.1,8.13,G,138.69625520110958
3079,4244,2.57,005409.33,+533756.7,9.37,G,389.1050583657588
3094,4264,7.46,005429.95,+561910.7,7.16,G,134.04825737265415
3103,4278 H,5.03,005445.19,+092543.9,8.19,G,198.80715705765405
3108,4288 H,25.69,005458.02,+233742.4,5.46,G,38.92565200467108
3117,4297,10.0,005501.40,+004722.8,8.05,G,100.0
3121,4301,12.66,005506.96,+232458.1,7.59,G,78.98894154818325
3132,4312,23.01,005512.11,+005558.7,10.62,G,43.459365493263796
3135,4315,3.93,005514.13,+424017.6,8.82,G,254.45292620865138
3138,4318,9.6,005514.82,+643244.9,7.59,G,104.16666666666667
3140,4320,4.25,005516.27,+854209.5,8.1,G,235.2941176470588
3141,4321,1.67,005517.11,+360306.7,8.89,G,598.8023952095808
3149,4329,10.4,005525.19,+283334.4,7.2,G,96.15384615384615
3163,4348,3.54,005544.05,+472347.5,8.76,G,282.4858757062147
3177,4367,3.3,005558.63,+391008.9,8.94,G,303.03030303030306
3196,4386 H,2.29,005613.17,+463914.8,7.68,G,436.68122270742356
3199,*4389,0.65,005614.88,+662446.0,8.33,G,1538.4615384615383
3207,4397 H,3.01,005622.97,+590301.0,8.13,G,332.22591362126246
3219,4419,1.33,005637.28,+702712.6,8.47,G,751.8796992481202
3221,4421,1.0,005637.95,+644635.5,9.01,G,1000.0
3223,4423,14.75,005640.16,+175735.8,8.36,G,67.79661016949153
3243,4453,8.13,005659.61,+002709.5,8.39,G,123.00123001230011
3244,4454,41.45,005703.25,+690238.5,9.12,G,24.1254523522316
3247,4457,11.39,005709.83,+345150.4,7.94,G,87.79631255487269
3279,4504,6.58,005742.18,+020537.7,7.99,G,151.9756838905775
3304,*4534,5.47,005802.63,+372958.3,7.39,G,182.81535648994517
3308,4538,1.15,005807.69,+554927.8,8.14,G,869.5652173913044
3312,4557,3.88,005818.80,+041747.8,8.0,G,257.7319587628866
3313,4558 H,7.62,005818.90,+212416.2,6.47,G,131.23359580052494
3319,4564,3.53,005823.68,+023558.4,9.8,G,283.28611898017
3327,4582,16.31,005842.42,+041220.9,7.57,G,61.31207847946046
3329,4584,3.74,005843.10,+470211.8,6.84,G,267.379679144385
3348,4613,14.47,005907.01,+393707.5,8.0,G,69.1085003455425
3354,4624,2.43,005923.33,+004644.5,7.66,G,411.52263374485597
3377,4672,2.32,005959.69,+480111.9,7.13,G,431.0344827586207
3380,4675 H,7.76,010003.55,+444247.9,5.69,G,128.8659793814433
3403,4708,13.43,010030.43,+072113.8,8.11,G,74.46016381236039
3423,4728 H,2.65,010041.73,+092912.8,8.36,G,377.35849056603774
3428,4733,3.1,010048.08,+183132.3,8.27,G,322.5806451612903
3439,4744,3.29,010056.46,+505244.5,7.67,G,303.951367781155
3446,4751,8.11,010105.21,+175017.2,8.26,G,123.30456226880395
3453,4758,0.21,010109.00,+543518.4,8.22,G,4761.904761904762
3465,4775 H,13.85,010121.77,+115445.7,7.87,G,72.20216606498195
3475,4800,4.14,010137.91,+703116.9,7.77,G,241.54589371980677
3482,4812,11.21,010146.21,+474219.4,7.73,G,89.20606601248885
3486,4816,4.73,010148.77,+633620.4,8.19,G,211.4164904862579
3511,4841 H,6.68,010217.55,+055159.9,8.82,G,149.7005988023952
3519,4849 H,46.61,010224.37,+050339.3,8.16,G,21.45462347135808
3526,*4856,122.77,010228.99,+714050.7,9.98,G,8.145312372729494
3527,*4857,7.71,010228.66,+482925.3,8.49,G,129.70168612191958
3528,4858,9.25,010229.64,+084917.8,7.08,G,108.10810810810811
3535,4865,5.05,010234.03,+054554.1,8.55,G,198.01980198019803
3542,4872,99.44,010237.95,+622041.4,9.56,G,10.05631536604988
3556,4886 H,11.43,010245.24,+021341.6,9.52,G,87.48906386701663
3557,4887,6.06,010245.79,+452531.1,8.54,G,165.01650165016503
3558,4888 H,4.7,010246.98,+474155.5,8.02,G,212.7659574468085
